,player_name,position,player_url,position_rank
10,River Cracraft,WR,https://sports.yahoo.com/nfl/players/30955,557
11,Terrance Williams,WR,https://sports.yahoo.com/nfl/players/26697,558
12,Brandon Zylstra,WR,https://sports.yahoo.com/nfl/players/30959,560
13,Gehrig Dieter,WR,https://sports.yahoo.com/nfl/players/30679,562
14,Nick Williams,WR,https://sports.yahoo.com/nfl/players/27201,563
15,KhaDarel Hodge,WR,https://sports.yahoo.com/nfl/players/31769,564
16,Tim White,WR,https://sports.yahoo.com/nfl/players/30510,577
17,Jeremy Kerley,WR,https://sports.yahoo.com/nfl/players/24940,581
18,Josh Malone,WR,https://sports.yahoo.com/nfl/players/30241,583
19,Sammie Coates Jr.,WR,https://sports.yahoo.com/nfl/players/28475,584
20,Victor Bolden,WR,https://sports.yahoo.com/nfl/players/30550,589
21,Cam Phillips,WR,https://sports.yahoo.com/nfl/players/31598,591
22,Damiere Byrd,WR,https://sports.yahoo.com/nfl/players/28730,592
23,Keon Hatcher,WR,https://sports.yahoo.com/nfl/players/30629,593
24,Darvin Kidsy,WR,https://sports.yahoo.com/nfl/players/31722,594
0,Marcus Kemp,WR,https://sports.yahoo.com/nfl/players/30682,595
1,Allen Lazard,WR,https://sports.yahoo.com/nfl/players/31268,596
2,Justin Watson,WR,https://sports.yahoo.com/nfl/players/31114,601
3,Jehu Chesson,WR,https://sports.yahoo.com/nfl/players/30252,606
4,Darrius Heyward-Bey,WR,https://sports.yahoo.com/nfl/players/9271,607
5,J'Mon Moore,WR,https://sports.yahoo.com/nfl/players/31103,611
6,Jordan Taylor,WR,https://sports.yahoo.com/nfl/players/28727,616
7,Quan Bray,WR,https://sports.yahoo.com/nfl/players/28740,617
8,Dres Anderson,WR,https://sports.yahoo.com/nfl/players/28793,619
9,DeAndrew White,WR,https://sports.yahoo.com/nfl/players/28800,620
10,Shane Wynn,WR,https://sports.yahoo.com/nfl/players/28834,622
11,Jordan Leslie,WR,https://sports.yahoo.com/nfl/players/28840,623
12,Greg Little,WR,https://sports.yahoo.com/nfl/players/24846,630
13,Bradley Marquez,WR,https://sports.yahoo.com/nfl/players/29001,636
14,Lucky Whitehead,WR,https://sports.yahoo.com/nfl/players/29024,639
15,Donteea Dye,WR,https://sports.yahoo.com/nfl/players/29069,645
16,Eric Weems,WR,https://sports.yahoo.com/nfl/players/8609,647
17,Kasen Williams,WR,https://sports.yahoo.com/nfl/players/29152,650
18,Braxton Miller,WR,https://sports.yahoo.com/nfl/players/29319,658
19,Harry Douglas,WR,https://sports.yahoo.com/nfl/players/8861,660
20,Malcolm Mitchell,WR,https://sports.yahoo.com/nfl/players/29346,661
21,Ricardo Louis,WR,https://sports.yahoo.com/nfl/players/29348,662
22,Pharoh Cooper,WR,https://sports.yahoo.com/nfl/players/29351,663
23,Trevor Davis,WR,https://sports.yahoo.com/nfl/players/29397,668
24,Matt Slater,WR,https://sports.yahoo.com/nfl/players/8930,669
0,Keenan Reynolds,WR,https://sports.yahoo.com/nfl/players/29416,672
1,Kolby Listenbee,WR,https://sports.yahoo.com/nfl/players/29426,675
2,Mike Thomas,WR,https://sports.yahoo.com/nfl/players/29440,677
3,Aaron Burbridge,WR,https://sports.yahoo.com/nfl/players/29447,678
4,Devin Lucien,WR,https://sports.yahoo.com/nfl/players/29459,680
5,Demarcus Ayers,WR,https://sports.yahoo.com/nfl/players/29463,681
6,Daniel Braverman,WR,https://sports.yahoo.com/nfl/players/29464,682
7,Devin Fuller,WR,https://sports.yahoo.com/nfl/players/29472,686
8,Canaan Severin,WR,https://sports.yahoo.com/nfl/players/29496,689
9,Jamaal Jones,WR,https://sports.yahoo.com/nfl/players/29521,693
10,Dom Williams,WR,https://sports.yahoo.com/nfl/players/29533,696
11,Mekale McKay,WR,https://sports.yahoo.com/nfl/players/29605,702
12,Tevaun Smith,WR,https://sports.yahoo.com/nfl/players/29612,703
13,Mose Frazier,WR,https://sports.yahoo.com/nfl/players/29618,704
14,Kalif Raymond,WR,https://sports.yahoo.com/nfl/players/29631,706
15,Malachi Jones,WR,https://sports.yahoo.com/nfl/players/29648,707
16,Cayleb Jones,WR,https://sports.yahoo.com/nfl/players/29679,709
17,Hunter Sharp,WR,https://sports.yahoo.com/nfl/players/29682,710
18,Paul Turner,WR,https://sports.yahoo.com/nfl/players/29686,711
19,Alonzo Russell,WR,https://sports.yahoo.com/nfl/players/29710,714
