player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort
Ronald Jones,https://sports.yahoo.com/nfl/players/31008,RB,$2 Waiver,,Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Sep 11, 4:53 am",0,2,"Ronald JonesRockin a ChubbSep 11, 4:53 am2"
Derek Carr,https://sports.yahoo.com/nfl/players/27564,QB,$2 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 11, 4:53 am",0,2,"Derek CarrMarquez Exxon ValdezSep 11, 4:53 am2"
Donte Moncrief,https://sports.yahoo.com/nfl/players/27618,WR,$1 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 4, 3:33 am",0,1,"Donte MoncriefMAGA CrackerSep 4, 3:33 am1"
Malcolm Brown,https://sports.yahoo.com/nfl/players/28990,RB,$1 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 2, 3:14 am",0,1,"Malcolm BrownMarquez Exxon ValdezSep 2, 3:14 am1"
Nyheim Hines,https://sports.yahoo.com/nfl/players/31074,RB,$1 Waiver,,Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 2, 3:14 am",0,1,"Nyheim HinesMarquez Exxon ValdezSep 2, 3:14 am1"
Marquise Goodwin,https://sports.yahoo.com/nfl/players/26701,WR,$2 Waiver,,FonziFonarelli,https://football.fantasysports.yahoo.com/2019/f1/102231/2,"Sep 2, 3:14 am",0,2,"Marquise GoodwinFonziFonarelliSep 2, 3:14 am2"
Kansas City,https://sports.yahoo.com/nfl/teams/kansas-city/,DEF,$2 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 2, 3:14 am",0,2,"Kansas CityMAGA CrackerSep 2, 3:14 am2"
James Washington,https://sports.yahoo.com/nfl/players/31030,WR,$2 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 2, 3:14 am",0,2,"James WashingtonMAGA CrackerSep 2, 3:14 am2"
Golden Tate,https://sports.yahoo.com/nfl/players/24035,WR,$3 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 2, 3:14 am",0,3,"Golden TateMAGA CrackerSep 2, 3:14 am3"
Tennessee,https://sports.yahoo.com/nfl/teams/tennessee/,DEF,$6 Waiver,,MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Sep 2, 3:14 am",0,6,"TennesseeMAGA CrackerSep 2, 3:14 am6"
