,player_name,position,player_url,score
14,Austin Trammell,WR,https://sports.yahoo.com/nfl/players/33745,3.63
15,Miles Boykin,WR,https://sports.yahoo.com/nfl/players/31925,3.63
16,Kayshon Boutte,WR,https://sports.yahoo.com/nfl/players/40224,3.38
17,Willie Snead IV,WR,https://sports.yahoo.com/nfl/players/28026,2.75
18,Malik Taylor,WR,https://sports.yahoo.com/nfl/players/32488,2.63
19,Gunner Olszewski,WR,https://sports.yahoo.com/nfl/players/32612,2.5
20,Laquon Treadwell,WR,https://sports.yahoo.com/nfl/players/29257,2.5
21,Erik Ezukanma,WR,https://sports.yahoo.com/nfl/players/34081,2.2
22,Collin Johnson,WR,https://sports.yahoo.com/nfl/players/32835,1.88
23,Cody Thompson,WR,https://sports.yahoo.com/nfl/players/32367,1.75
24,Mason Kinsey,WR,https://sports.yahoo.com/nfl/players/33351,1.25
0,Colton Dowell,WR,https://sports.yahoo.com/nfl/players/40263,0.88
1,Kwamie Lassiter II,WR,https://sports.yahoo.com/nfl/players/34473,0.75
2,Antoine Green,WR,https://sports.yahoo.com/nfl/players/40281,0.75
3,Dee Eskridge,WR,https://sports.yahoo.com/nfl/players/33444,0.5
4,Grant DuBose,WR,https://sports.yahoo.com/nfl/players/40251,0.0
5,Maurice Alexander,WR,https://sports.yahoo.com/nfl/players/34712,0.0
6,Johnny Johnson III,WR,https://sports.yahoo.com/nfl/players/34601,0.0
7,Dontario Drummond,WR,https://sports.yahoo.com/nfl/players/34608,0.0
8,Ty Fryfogle,WR,https://sports.yahoo.com/nfl/players/34609,0.0
9,Drew Estrada,WR,https://sports.yahoo.com/nfl/players/34591,0.0
10,Dre Miller,WR,https://sports.yahoo.com/nfl/players/34673,0.0
11,Josh Ali,WR,https://sports.yahoo.com/nfl/players/34719,0.0
12,Daylen Baldwin,WR,https://sports.yahoo.com/nfl/players/34713,0.0
13,Justin Shorter,WR,https://sports.yahoo.com/nfl/players/40167,0.0
14,Jalen Virgil,WR,https://sports.yahoo.com/nfl/players/34579,0.0
15,Dennis Houston,WR,https://sports.yahoo.com/nfl/players/34592,0.0
16,Kalil Pimpleton,WR,https://sports.yahoo.com/nfl/players/34563,0.0
17,Kaylon Geiger,WR,https://sports.yahoo.com/nfl/players/34506,0.0
18,Braylon Sanders,WR,https://sports.yahoo.com/nfl/players/34534,0.0
19,Kaden Davis,WR,https://sports.yahoo.com/nfl/players/34569,0.0
20,Duece Watts,WR,https://sports.yahoo.com/nfl/players/40438,0.0
21,Jared Wayne,WR,https://sports.yahoo.com/nfl/players/40288,0.0
22,Sean Ryan,WR,https://sports.yahoo.com/nfl/players/40640,0.0
23,Taylor Grimes,WR,https://sports.yahoo.com/nfl/players/40703,0.0
24,Dallas Daniels,WR,https://sports.yahoo.com/nfl/players/40695,0.0
0,Ryan Miller,WR,https://sports.yahoo.com/nfl/players/40676,0.0
1,Kade Warner,WR,https://sports.yahoo.com/nfl/players/40673,0.0
2,Taye Barber,WR,https://sports.yahoo.com/nfl/players/40672,0.0
